corrida,gpi,config,partidas,vitoria_pct,media_movel_5_pct
gpi1000,1000,antiga,0,62.58,62.58
gpi1000,1000,antiga,100000,63.809,63.1945
gpi1000,1000,antiga,200000,64.089,63.4927
gpi1000,1000,antiga,300000,64.095,63.6433
gpi1000,1000,antiga,400000,63.98,63.7106
gpi1000,1000,antiga,500000,63.868,63.9682
gpi1000,1000,antiga,600000,64.002,64.0068
gpi1000,1000,antiga,700000,64.035,63.996
gpi1000,1000,antiga,800000,64.37,64.051
gpi1000,1000,antiga,900000,64.38,64.131
gpi1000,1000,antiga,1000000,64.153,64.188
gpi1000,1000,antiga,1100000,63.807,64.149
gpi1000,1000,antiga,1200000,64.262,64.1944
gpi1000,1000,antiga,1300000,64.143,64.149
gpi1000,1000,antiga,1400000,64.658,64.2046
gpi1000,1000,antiga,1500000,64.394,64.2528
gpi1000,1000,antiga,1600000,64.427,64.3768
gpi1000,1000,antiga,1700000,64.317,64.3878
gpi1000,1000,antiga,1800000,64.645,64.4882
gpi1000,1000,antiga,1900000,64.525,64.4616
gpi1000,1000,antiga,2000000,64.416,64.466
gpi1000,1000,antiga,2100000,64.414,64.4634
gpi1000,1000,antiga,2200000,64.433,64.4866
gpi1000,1000,antiga,2300000,64.639,64.4854
gpi1000,1000,antiga,2400000,64.468,64.474
gpi1000,1000,antiga,2500000,64.518,64.4944
gpi1000,1000,antiga,2600000,64.395,64.4906
gpi1000,1000,antiga,2700000,64.621,64.5282
gpi1000,1000,antiga,2800000,64.442,64.4888
gpi1000,1000,antiga,2900000,64.602,64.5156
gpi1000,1000,antiga,3000000,64.667,64.5454
gpi1000,1000,antiga,3100000,64.503,64.567
gpi1000,1000,antiga,3200000,64.504,64.5436
gpi1000,1000,antiga,3300000,64.273,64.5098
gpi1000,1000,antiga,3400000,64.851,64.5596
gpi1000,1000,antiga,3500000,64.583,64.5428
gpi1000,1000,antiga,3600000,64.565,64.5552
gpi1000,1000,antiga,3700000,64.574,64.5692
gpi1000,1000,antiga,3800000,64.767,64.668
gpi1000,1000,antiga,3900000,65.039,64.7056
gpi1000,1000,antiga,4000000,64.988,64.7866
gpi1000,1000,antiga,4100000,64.59,64.7916
gpi1000,1000,antiga,4200000,65.089,64.8946
gpi1000,1000,antiga,4300000,64.801,64.9014
gpi1000,1000,antiga,4400000,64.665,64.8266
gpi1000,1000,antiga,4500000,65.037,64.8364
gpi1000,1000,antiga,4600000,64.731,64.8646
gpi1000,1000,antiga,4700000,64.745,64.7958
gpi1000,1000,antiga,4800000,64.905,64.8166
gpi1000,1000,antiga,4900000,64.642,64.812
gpi1000,1000,antiga,5000000,64.604,64.7254
gpi1000,1000,antiga,5100000,64.717,64.7226
gpi1000,1000,antiga,5200000,64.703,64.7142
gpi1000,1000,antiga,5300000,64.731,64.6794
gpi1000,1000,antiga,5400000,64.686,64.6882
gpi1000,1000,antiga,5500000,64.591,64.6856
gpi1000,1000,antiga,5600000,64.762,64.6946
gpi1000,1000,antiga,5700000,64.746,64.7032
gpi1000,1000,antiga,5800000,64.805,64.718
gpi1000,1000,antiga,5900000,64.91,64.7628
gpi1000,1000,antiga,6000000,64.768,64.7982
gpi1000,1000,antiga,6100000,64.696,64.785
gpi1000,1000,antiga,6200000,64.941,64.824
gpi1000,1000,antiga,6300000,64.889,64.8408
gpi1000,1000,antiga,6400000,64.872,64.8332
gpi1000,1000,antiga,6500000,64.671,64.8138
gpi1000,1000,antiga,6600000,64.677,64.81
gpi1000,1000,antiga,6700000,64.79,64.7798
gpi1000,1000,antiga,6800000,65.026,64.8072
