iteration,applied_learning_rate,next_learning_rate,exponent,active,ema_max_kl,hold_streak,cooldown_remaining,promoted,max_approx_kl,cumulative_games,final_clip_fraction,entropy,epochs_completed,update_seconds
1,8.779149519890261e-05,8.779149519890261e-05,6,True,0.001279231065061416,1,0,False,0.001279231065061416,8000,0.01485,0.27778,16,1.28582
2,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0013206508536921099,2,0,False,0.0016934289513683564,16000,0.02056,0.27894,16,1.26753
3,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0013455337893949909,3,0,False,0.0015694802107209201,24000,0.02009,0.27851,16,1.19194
4,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0013522179481535773,4,0,False,0.0014123753769808547,32000,0.01662,0.2749,16,1.19319
5,8.779149519890261e-05,8.779149519890261e-05,6,True,0.001367092118444936,5,0,False,0.0015009596510671631,40000,0.01875,0.27879,16,1.18947
6,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0013512649281208508,6,0,False,0.0012088202152040841,48000,0.01402,0.27625,16,1.27149
7,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0013430579089648126,7,0,False,0.0012691947365604706,56000,0.01317,0.28069,16,1.27687
8,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0013297768092447142,8,0,False,0.0012102469117638288,64000,0.01362,0.28143,16,1.19224
9,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0013234796685078977,9,0,False,0.0012668054018765505,72000,0.01472,0.27899,16,1.27563
10,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0013572658719988968,10,0,False,0.0016613417034178873,80000,0.02045,0.27894,16,1.28051
11,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0013450036823831329,11,0,False,0.0012346439758412588,88000,0.01382,0.2809,16,1.19542
12,8.779149519890261e-05,8.779149519890261e-05,6,True,0.00136047625614992,12,0,False,0.001499729420051004,96000,0.01747,0.27753,16,1.19017
13,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0013710712512752115,13,0,False,0.001466426207402835,100000,0.01637,0.27989,16,0.62562
14,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0013734310688538682,14,0,False,0.0013946694270617792,108000,0.01575,0.27758,16,1.27335
15,8.779149519890261e-05,8.779149519890261e-05,6,True,0.001380222858190193,15,0,False,0.001441348962217116,116000,0.01635,0.2781,16,1.27408
16,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0013686944756626847,16,0,False,0.0012649390329151106,124000,0.0135,0.27729,16,1.21718
17,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0013488666561331515,17,0,False,0.0011704162803673518,132000,0.01191,0.27744,16,1.20494
18,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0013559411143698643,18,0,False,0.0014196112385002812,140000,0.01582,0.27798,16,1.19619
19,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0013324231626522629,19,0,False,0.0011207615971938498,148000,0.01109,0.27707,16,1.19581
20,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0013356792216487464,20,0,False,0.0013649837526170988,156000,0.01656,0.27753,16,1.19373
21,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0013327782533591433,21,0,False,0.0013066695387527155,164000,0.01341,0.27719,16,1.29122
22,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0013278174023188868,22,0,False,0.001283169742956576,172000,0.01366,0.27774,16,1.19098
23,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0013055359390258638,23,0,False,0.001105002769388657,180000,0.01105,0.27853,16,1.29236
24,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012866763047193453,24,0,False,0.0011169395959606792,188000,0.01135,0.2763,16,1.19371
25,8.779149519890261e-05,8.779149519890261e-05,6,True,0.001274935123324796,25,0,False,0.0011692644907738514,196000,0.01178,0.27523,16,1.19403
26,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012578113799871504,26,0,False,0.00110369768994834,200000,0.01143,0.27509,16,0.6221
27,8.779149519890261e-05,8.779149519890261e-05,6,True,0.0012465446096803817,27,0,False,0.0011451436769194638,208000,0.01101,0.27789,16,1.21121
