execucao,arquitetura,lr,partidas,iteracoes,horas,vitoria_pct,ic95_baixo_pct,ic95_alto_pct
bucket_heuristic,anterior,0.001,0,0,0.008,62.631,62.331,62.93
bucket_heuristic,anterior,0.001,100000,50,0.036,63.984,63.686,64.281
bucket_heuristic,anterior,0.001,200000,100,0.064,64.005,63.707,64.302
bucket_heuristic,anterior,0.001,300000,150,0.09,64.341,64.044,64.637
bucket_heuristic,anterior,0.001,400000,200,0.115,64.352,64.055,64.648
bucket_heuristic,anterior,0.001,500000,250,0.141,64.483,64.186,64.779
bucket_heuristic,anterior,0.001,600000,300,0.167,64.56,64.263,64.856
bucket_heuristic,anterior,0.001,700000,350,0.193,64.565,64.268,64.861
bucket_heuristic,anterior,0.001,800000,400,0.219,64.698,64.401,64.994
bucket_heuristic,anterior,0.001,900000,450,0.244,64.76,64.463,65.056
bucket_heuristic,anterior,0.001,1000000,500,0.27,64.975,64.679,65.27
bucket_heuristic,anterior,0.001,1100000,550,0.295,64.636,64.339,64.932
bucket_heuristic,anterior,0.001,1200000,600,0.321,64.712,64.415,65.008
bucket_heuristic,anterior,0.001,1300000,650,0.347,64.781,64.484,65.076
bucket_heuristic,anterior,0.001,1400000,700,0.372,64.874,64.578,65.169
bucket_heuristic,anterior,0.001,1500000,750,0.397,64.735,64.438,65.031
bucket_heuristic,anterior,0.001,1600000,800,0.423,64.654,64.357,64.95
bucket_heuristic,anterior,0.001,1700000,850,0.448,64.981,64.685,65.276
bucket_heuristic,anterior,0.001,1800000,900,0.473,64.842,64.545,65.137
bucket_heuristic,anterior,0.001,1900000,950,0.498,64.92,64.624,65.215
bucket_heuristic,anterior,0.001,2000000,1000,0.523,65.073,64.777,65.368
bucket_heuristic,anterior,0.001,2100000,1050,0.548,64.996,64.7,65.291
bucket_heuristic,anterior,0.001,2200000,1100,0.573,64.952,64.656,65.247
bucket_heuristic,anterior,0.001,2300000,1150,0.598,65.135,64.839,65.43
bucket_heuristic,anterior,0.001,2400000,1200,0.622,65.009,64.713,65.304
bucket_heuristic,anterior,0.001,2500000,1250,0.647,64.882,64.586,65.177
bucket_heuristic,anterior,0.001,2600000,1300,0.672,64.788,64.491,65.083
bucket_heuristic,anterior,0.001,2700000,1350,0.697,64.974,64.678,65.269
bucket_heuristic,anterior,0.001,2800000,1400,0.722,65.125,64.829,65.42
bucket_heuristic,anterior,0.001,2900000,1450,0.747,65.134,64.838,65.429
bucket_heuristic,anterior,0.001,3000000,1500,0.772,65.149,64.853,65.444
bucket_heuristic,anterior,0.001,3100000,1550,0.797,65.149,64.853,65.444
bucket_heuristic,anterior,0.001,3200000,1600,0.822,65.262,64.966,65.557
bucket_heuristic,anterior,0.001,3300000,1650,0.847,65.107,64.811,65.402
bucket_heuristic,anterior,0.001,3400000,1700,0.872,65.164,64.868,65.459
bucket_heuristic,anterior,0.001,3500000,1750,0.897,65.229,64.933,65.524
bucket_heuristic,anterior,0.001,3600000,1800,0.923,65.235,64.939,65.53
bucket_heuristic,anterior,0.001,3700000,1850,0.948,65.285,64.989,65.579
bucket_heuristic,anterior,0.001,3800000,1900,0.973,65.196,64.9,65.491
bucket_heuristic,anterior,0.001,3900000,1950,0.998,65.388,65.093,65.682
bucket_heuristic,anterior,0.001,4000000,2000,1.023,65.199,64.903,65.494
bucket_heuristic,anterior,0.001,4100000,2050,1.048,65.226,64.93,65.521
bucket_heuristic,anterior,0.001,4200000,2100,1.073,65.158,64.862,65.453
bucket_heuristic,anterior,0.001,4300000,2150,1.099,65.262,64.966,65.557
bucket_heuristic,anterior,0.001,4400000,2200,1.124,65.348,65.052,65.642
bucket_heuristic,anterior,0.001,4500000,2250,1.149,65.349,65.053,65.643
bucket_heuristic,anterior,0.001,4600000,2300,1.174,65.353,65.057,65.647
bucket_heuristic,anterior,0.001,4700000,2350,1.199,65.318,65.022,65.612
bucket_heuristic,anterior,0.001,4800000,2400,1.225,65.264,64.968,65.559
bucket_heuristic,anterior,0.001,4900000,2450,1.25,65.412,65.117,65.706
bucket_heuristic,anterior,0.001,5000000,2500,1.275,65.569,65.274,65.863
bucket_heuristic,anterior,0.001,5100000,2550,1.3,65.664,65.369,65.958
bucket_heuristic,anterior,0.001,5200000,2600,1.326,65.422,65.127,65.716
bucket_heuristic,anterior,0.001,5300000,2650,1.351,65.616,65.321,65.91
bucket_heuristic,anterior,0.001,5400000,2700,1.376,65.44,65.145,65.734
bucket_heuristic,anterior,0.001,5500000,2750,1.401,65.581,65.286,65.875
bucket_heuristic,anterior,0.001,5600000,2800,1.426,65.397,65.102,65.691
bucket_heuristic,anterior,0.001,5700000,2850,1.451,65.47,65.175,65.764
bucket_heuristic,anterior,0.001,5800000,2900,1.476,65.267,64.971,65.562
bucket_heuristic,anterior,0.001,5900000,2950,1.501,65.328,65.032,65.622
bucket_heuristic,anterior,0.001,6000000,3000,1.526,65.449,65.154,65.743
bucket_heuristic,anterior,0.001,6100000,3050,1.551,65.555,65.26,65.849
bucket_heuristic,anterior,0.001,6200000,3100,1.576,65.418,65.123,65.712
bucket_heuristic,anterior,0.001,6300000,3150,1.601,65.438,65.143,65.732
bucket_heuristic,anterior,0.001,6400000,3200,1.626,65.394,65.099,65.688
bucket_heuristic,anterior,0.001,6500000,3250,1.652,65.454,65.159,65.748
bucket_heuristic,anterior,0.001,6600000,3300,1.677,65.588,65.293,65.882
bucket_heuristic,anterior,0.001,6700000,3350,1.702,65.586,65.291,65.88
bucket_heuristic,anterior,0.001,6800000,3400,1.727,65.425,65.13,65.719
bucket_heuristic,anterior,0.001,6900000,3450,1.752,65.341,65.045,65.635
bucket_heuristic,anterior,0.001,7000000,3500,1.778,65.506,65.211,65.8
bucket_heuristic,anterior,0.001,7100000,3550,1.803,65.607,65.312,65.901
bucket_heuristic,anterior,0.001,7200000,3600,1.828,65.518,65.223,65.812
bucket_heuristic,anterior,0.001,7300000,3650,1.853,65.486,65.191,65.78
bucket_heuristic,anterior,0.001,7400000,3700,1.878,65.649,65.354,65.943
bucket_heuristic,anterior,0.001,7500000,3750,1.903,65.825,65.53,66.118
bucket_heuristic,anterior,0.001,7600000,3800,1.928,65.857,65.562,66.15
bucket_heuristic,anterior,0.001,7700000,3850,1.953,65.763,65.468,66.056
bucket_heuristic,anterior,0.001,7800000,3900,1.978,65.676,65.381,65.97
bucket_heuristic,anterior,0.001,7900000,3950,2.003,65.707,65.412,66.001
bucket_heuristic,anterior,0.001,8000000,4000,2.029,65.525,65.23,65.819
bucket_heuristic,anterior,0.001,8100000,4050,2.054,65.767,65.472,66.06
bucket_heuristic,anterior,0.001,8200000,4100,2.079,65.565,65.27,65.859
bucket_heuristic,anterior,0.001,8300000,4150,2.104,65.573,65.278,65.867
bucket_heuristic,anterior,0.001,8400000,4200,2.13,65.653,65.358,65.947
bucket_heuristic,anterior,0.001,8500000,4250,2.155,65.6,65.305,65.894
bucket_heuristic,anterior,0.001,8600000,4300,2.18,65.693,65.398,65.987
