execucao,arquitetura,origem,gpu,pesos_sl,lr,baseline,eta,buckets,treina_no_avaliador,iteracoes,partidas,vitoria_inicial_pct,vitoria_melhor_pct,partidas_ate_melhor,vitoria_final_pct,vitoria_em_partidas_comuns_pct,melhor_em_partidas_comuns_pct,partidas_ate_melhor_comum,ganho_sobre_sl_pct,recompensa_media_mediana,decisoes_positivas_mediana_pct,vitoria_em_lote_mediana_pct,corr_recompensa_vitoria,entropia_inicial,entropia_final,entropia_minima,iteracao_da_minima,entropia_maxima_apos_minima,kl_mediana,recorte_mediano,terminal_abs_mediana,local_abs_mediana,razao_local_terminal,completa
bucket_heuristic,anterior,local,NVIDIA GeForce RTX 3050 6GB Laptop GPU,e0695fcb,0.001,batch-mean,0.5,heuristic,nao,12650,25300000,62.631,66.375,21600000,66.086,64.974,65.135,2300000,3.744,0.0077,55.476,52.95,0.9,0.2927,0.2245,0.2242,10881,0.2286,0.0023,0.0335,,,,sim
bucket_heuristic_recent,anterior,local,NVIDIA GeForce RTX 3050 6GB Laptop GPU,e0695fcb,0.001,batch-mean,0.5,"heuristic,recent",nao,9100,18200000,62.631,66.067,13100000,65.771,64.846,64.999,2300000,3.436,-0.00387,54.07,51.25,0.8656,0.2936,0.2278,0.2265,7920,0.2309,0.00231,0.0335,,,,sim
baseline_zero,anterior,local,NVIDIA GeForce RTX 3050 6GB Laptop GPU,e0695fcb,0.001,zero,0.5,"heuristic,recent",nao,9000,18000000,62.631,66.238,16600000,65.855,65.144,65.187,2300000,3.607,-0.004,54.062,51.25,0.8643,0.2937,0.229,0.228,8865,0.2291,0.00233,0.0338,,,,sim
bucket_all,anterior,local,NVIDIA GeForce RTX 3050 6GB Laptop GPU,e0695fcb,0.001,batch-mean,0.5,"heuristic,recent,medium_term,historical_uniform,champion_vs_heuristic,champion_vs_learner",nao,6350,12700000,62.631,65.861,9300000,65.793,64.943,65.069,2300000,3.23,-0.00806,53.553,50.7,0.8537,0.2936,0.2347,0.2331,5830,0.2373,0.00233,0.0339,,,,sim
d6_maxwr_lr032,atual,local,NVIDIA GeForce RTX 3050 6GB Laptop GPU,e0695fcb,0.032,batch-mean,0.5,heuristic,nao,14200,28400000,62.631,65.203,27800000,64.689,64.067,64.211,2200000,2.572,0.28102,64.754,51.85,0.7714,0.2886,0.2621,0.1987,495,0.2774,0.00869,0.1099,0.21123,0.51362,2.4322,sim
d6_maxwr_lr016,atual,local,NVIDIA GeForce RTX 3050 6GB Laptop GPU,e0695fcb,0.016,batch-mean,0.5,heuristic,nao,350,700000,62.631,63.603,500000,63.595,,,0,0.972,0.25338,63.207,50.5,0.7444,0.2919,0.2483,0.2482,293,0.2483,0.01558,0.1292,0.21153,0.50443,2.3879,nao
default_lr032,atual,local,NVIDIA GeForce RTX 3050 6GB Laptop GPU,e0695fcb,0.032,batch-mean,0.5,"heuristic,recent",nao,10300,20600000,62.631,64.939,12000000,64.567,63.869,64.08,2300000,2.308,0.26957,63.934,50.8,0.7059,0.2834,0.2635,0.1941,564,0.2824,0.0095,0.116,0.21035,0.51591,2.454,sim
default_lr016_lookup,atual,local,NVIDIA GeForce RTX 3050 6GB Laptop GPU,e0695fcb,0.016,lookup-table,0.5,"heuristic,recent",nao,7800,15600000,62.631,65.103,15400000,64.802,64.176,64.359,2600000,2.472,0.27174,63.95,50.8,0.7121,0.2886,0.2596,0.2526,128,0.2687,0.00931,0.1157,0.21176,0.51688,2.4416,sim
default_lookup,atual,local,NVIDIA GeForce RTX 3050 6GB Laptop GPU,e0695fcb,0.001,lookup-table,0.5,"heuristic,recent",nao,12800,25600000,62.631,65.335,24000000,65.116,64.539,64.539,2700000,2.704,0.27843,64.397,51.0,0.7218,0.2945,0.2057,0.2041,12176,0.2067,0.0024,0.0348,0.2106,0.51673,2.4541,sim
rick_heuristic,atual,externa,NVIDIA GeForce RTX 4050 Laptop GPU,a38f40d6,0.002,batch-mean,0.5,heuristic,nao,10250,20500000,62.633,65.397,12500000,65.143,64.247,64.584,1900000,2.764,,,,,,,,,,,,,,,sim
rick_random_desktop,atual,externa,NVIDIA GeForce GTX 1650,a5c95ef0,0.002,batch-mean,0.5,random,sim,12550,25100000,62.632,65.836,20300000,65.671,65.188,65.188,2700000,3.204,,,,,,,,,,,,,,,sim
rick_random_notebook,atual,externa,NVIDIA GeForce GTX 960M,7a7bb7f4,0.002,batch-mean,0.5,random,sim,11900,23800000,62.632,65.87,21400000,65.597,65.126,65.126,2700000,3.238,,,,,,,,,,,,,,,sim
d6_random_eta0115,atual,local,NVIDIA GeForce RTX 3050 6GB Laptop GPU,e0695fcb,0.002,batch-mean,0.115,random,sim,2500,5000000,62.631,66.013,4900000,65.923,65.711,65.844,2500000,3.382,0.22298,68.904,64.7,0.8886,0.2922,0.2698,0.2694,2413,0.2699,0.00316,0.0473,0.40178,0.1147,0.2857,sim
rick_random_eta0115,atual,externa,NVIDIA GeForce GTX 1650,a5c95ef0,0.002,batch-mean,0.115,random,sim,1350,2700000,62.632,65.788,2700000,65.788,65.788,65.788,2700000,3.156,0.21869,68.618,64.5,0.8933,0.2922,0.2734,0.2731,1255,0.2734,0.00315,0.0469,0.39996,0.11408,0.2853,sim
