ruleset,ruleset_short,iteration,training_games,training_elapsed_seconds,cumulative_decisions,cumulative_optimizer_steps,evaluated_repetitions,diagnostic_games,wins,losses,win_rate_percent,ci95_low_percent,ci95_high_percent,diagnostic_seconds
double-three,D3,0,0,0.0,0.0,0.0,1,10000,4986.0,5014.0,49.86,48.880245785323886,50.839861738169866,1.1635642051696777
double-three,D3,1,2000,2.0988749999999996,3117.0,96.0,1,10000,4984.0,5016.0,49.84,48.860254640901424,50.81986824309145,1.1758275032043457
double-three,D3,2,4000,3.57838,6154.0,192.0,1,10000,4966.0,5034.0,49.66,48.68034139323627,50.6399197352486,1.141371726989746
double-three,D3,3,6000,5.0647850000000005,9211.0,288.0,1,10000,4975.0,5025.0,49.75,48.77029643032248,50.729895575916395,1.1998631954193115
double-three,D3,4,8000,6.58373,12271.0,384.0,1,10000,4994.0,5006.0,49.94,48.96021193012462,50.9198341513727,1.1813006401062012
double-three,D3,5,10000,8.12576,15347.0,480.0,1,10000,5003.0,4997.0,50.029999999999994,49.05017684010619,51.00980011914514,1.198071002960205
double-three,D3,6,12000,9.61985,18371.0,576.0,1,10000,4997.0,5003.0,49.97,48.99019988085485,50.9498231598938,1.1624643802642822
double-three,D3,7,14000,11.151435,21438.0,672.0,1,10000,5024.0,4976.0,50.239999999999995,49.26010730435,51.219708369660644,1.140704870223999
double-three,D3,8,16000,12.743175,24515.0,768.0,1,10000,5018.0,4982.0,50.18,49.20012540869907,51.159736346808934,1.1938941478729248
double-three,D3,9,18000,14.303474999999999,27564.0,864.0,1,10000,5051.0,4949.0,50.51,49.530043289380835,51.489565017891834,1.1623680591583252
double-three,D3,10,20000,15.86577,30619.0,960.0,1,10000,5055.0,4945.0,50.55,49.570036234962366,51.52954135131207,1.1421785354614258
double-three,D3,11,22000,17.413075,33682.0,1056.0,1,10000,5058.0,4942.0,50.580000000000005,49.60003135558526,51.559523189940535,1.2220511436462402
double-three,D3,12,24000,18.97627,36775.0,1152.0,1,10000,5042.0,4958.0,50.42,49.440061454037185,51.39961597548148,1.1704111099243164
double-three,D3,13,26000,20.606885,39874.0,1248.0,1,10000,5042.0,4958.0,50.42,49.440061454037185,51.39961597548148,1.142648696899414
double-three,D3,14,28000,22.112614999999998,42929.0,1344.0,1,10000,5058.0,4942.0,50.580000000000005,49.60003135558526,51.559523189940535,1.201298475265503
double-three,D3,15,30000,23.643465,45977.0,1440.0,1,10000,5088.0,4912.0,50.88,49.90000195992514,51.859322178114006,1.1676318645477295
double-three,D3,16,32000,25.232345000000002,49079.0,1536.0,1,10000,5102.0,4898.0,51.019999999999996,50.04000031360497,51.99921630094039,1.196099042892456
double-three,D3,17,34000,26.765095000000002,52088.0,1632.0,1,10000,5154.0,4846.0,51.54,50.56006148102558,52.51875576054289,1.1758949756622314
