ruleset,repetition,section,seconds
double-three,1,epoch_metrics_and_kl_control,0.04270089429337531
double-three,1,full_buffer_evaluation,12.435141536698211
double-three,1,later_epoch_partitioning,0.575719549873611
double-three,1,minibatch_materialization,1.4182815172534902
double-three,1,optimizer_steps,19.640641363308532
double-three,1,optimizer_synchronization,0.001973779173567891
double-three,1,setup_and_first_partition,0.05352853407384828
double-three,1,storage_cleanup,0.0041726710624061525
double-three,1,storage_prepare,0.2264314979838673
double-three,1,unaccounted,0.03573351231170818
double-three,2,epoch_metrics_and_kl_control,0.04081916590803303
double-three,2,full_buffer_evaluation,11.937006009102333
double-three,2,later_epoch_partitioning,0.5422633838024922
double-three,2,minibatch_materialization,1.3615135453583207
double-three,2,optimizer_steps,18.555062472150894
double-three,2,optimizer_synchronization,0.0019434109854046255
double-three,2,setup_and_first_partition,0.053530567092821
double-three,2,storage_cleanup,0.004249798919772729
double-three,2,storage_prepare,0.22722453495953232
double-three,2,unaccounted,0.03442013778840192
double-four,1,epoch_metrics_and_kl_control,0.04483791784150526
double-four,1,full_buffer_evaluation,17.91272033349378
double-four,1,later_epoch_partitioning,0.7175629360135645
double-four,1,minibatch_materialization,2.120546971564181
double-four,1,optimizer_steps,29.082166923355544
double-four,1,optimizer_synchronization,0.0022915539448149502
double-four,1,setup_and_first_partition,0.06665228193742223
double-four,1,storage_cleanup,0.005029324034694582
double-four,1,storage_prepare,0.23704952304251492
double-four,1,unaccounted,0.05116150274989195
double-four,2,epoch_metrics_and_kl_control,0.044407740293536335
double-four,2,full_buffer_evaluation,16.973472422920167
double-four,2,later_epoch_partitioning,0.6971351538959425
double-four,2,minibatch_materialization,2.0273587113188114
double-four,2,optimizer_steps,27.622509785869624
double-four,2,optimizer_synchronization,0.002173552813474089
double-four,2,setup_and_first_partition,0.06398659708793275
double-four,2,storage_cleanup,0.005148223048308864
double-four,2,storage_prepare,0.2274087900586892
double-four,2,unaccounted,0.0490507077483926
double-five,1,epoch_metrics_and_kl_control,0.046346654795343056
double-five,1,full_buffer_evaluation,23.536581651016604
double-five,1,later_epoch_partitioning,0.9122552128974348
double-five,1,minibatch_materialization,2.795151714468375
double-five,1,optimizer_steps,38.255629832536215
double-five,1,optimizer_synchronization,0.002235652122180909
double-five,1,setup_and_first_partition,0.07507426594384015
double-five,1,storage_cleanup,0.008932950993767008
double-five,1,storage_prepare,0.2506215419562068
double-five,1,unaccounted,0.06487180525436997
double-five,2,epoch_metrics_and_kl_control,0.045900584664195776
double-five,2,full_buffer_evaluation,23.02958112102351
double-five,2,later_epoch_partitioning,0.8955142551567405
double-five,2,minibatch_materialization,2.72975815468817
double-five,2,optimizer_steps,37.821755217708414
double-five,2,optimizer_synchronization,0.0021723577519878745
double-five,2,setup_and_first_partition,0.07332994794705883
double-five,2,storage_cleanup,0.009059561096364632
double-five,2,storage_prepare,0.2398104780295398
double-five,2,unaccounted,0.06444577692309394
double-six,1,epoch_metrics_and_kl_control,0.048078749678097665
double-six,1,full_buffer_evaluation,31.022738820902305
double-six,1,later_epoch_partitioning,1.0702508152171504
double-six,1,minibatch_materialization,3.511709760321537
double-six,1,optimizer_steps,48.08367319352692
double-six,1,optimizer_synchronization,0.002334312885068357
double-six,1,setup_and_first_partition,0.08166684085153975
double-six,1,storage_cleanup,0.010380635038018227
double-six,1,storage_prepare,0.2481095930270385
double-six,1,unaccounted,0.08201673850999214
double-six,2,epoch_metrics_and_kl_control,0.046277554851258174
double-six,2,full_buffer_evaluation,30.82858172658598
double-six,2,later_epoch_partitioning,1.044835160166258
double-six,2,minibatch_materialization,3.561937726131873
double-six,2,optimizer_steps,48.329917231341824
double-six,2,optimizer_synchronization,0.002258238790091127
double-six,2,setup_and_first_partition,0.08157264793408103
double-six,2,storage_cleanup,0.009253830037778243
double-six,2,storage_prepare,0.24595739907817915
double-six,2,unaccounted,0.0806594650784973
