ruleset,repetition,section,seconds
double-three,1,agent_setup,0.13484691228950396
double-three,1,engine_initialization,0.06849932330078445
double-three,1,engine_state_transition,0.08777944199391641
double-three,1,forced_learner_action_selection,0.0017841934750322253
double-three,1,learner_agent_decisions,1.250164385419339
double-three,1,opponent_agent_decisions,0.8591707487648819
double-three,1,per_game_rng_setup,0.04261941649019718
double-three,1,result_payload_construction,0.008698529563844204
double-three,1,reward_shaping,0.028022741433233023
double-three,1,state_and_legal_action_generation,0.18762468537897803
double-three,1,terminal_reward_and_trajectory_finalization,0.04488939995644614
double-three,1,unaccounted,0.0661600440798793
double-three,2,agent_setup,0.13066185597563162
double-three,2,engine_initialization,0.06630492911790498
double-three,2,engine_state_transition,0.08509402553318068
double-three,2,forced_learner_action_selection,0.0017564720765221864
double-three,2,learner_agent_decisions,1.209637919004308
double-three,2,opponent_agent_decisions,0.8378790467977524
double-three,2,per_game_rng_setup,0.041468012175755575
double-three,2,result_payload_construction,0.008397818106459454
double-three,2,reward_shaping,0.026868277287576348
double-three,2,state_and_legal_action_generation,0.1822877517552115
double-three,2,terminal_reward_and_trajectory_finalization,0.04330325379851274
double-three,2,unaccounted,0.06393083749571815
double-four,1,agent_setup,0.1445417640497908
double-four,1,engine_initialization,0.07436483362107538
double-four,1,engine_state_transition,0.12346158715081401
double-four,1,forced_learner_action_selection,0.0024736616760492325
double-four,1,learner_agent_decisions,3.772322958888253
double-four,1,opponent_agent_decisions,3.2827622226905078
double-four,1,per_game_rng_setup,0.0428465370205231
double-four,1,result_payload_construction,0.00884296651929617
double-four,1,reward_shaping,0.04589562909677625
double-four,1,state_and_legal_action_generation,0.30295711988583207
double-four,1,terminal_reward_and_trajectory_finalization,0.053378731943666935
double-four,1,unaccounted,0.08477683350793086
double-four,2,agent_setup,0.1400460436125286
double-four,2,engine_initialization,0.07226659174193628
double-four,2,engine_state_transition,0.12117510850657709
double-four,2,forced_learner_action_selection,0.0024122783506754786
double-four,2,learner_agent_decisions,3.6749415933154523
double-four,2,opponent_agent_decisions,3.2072427307721227
double-four,2,per_game_rng_setup,0.04221880101249553
double-four,2,result_payload_construction,0.008661771717015654
double-four,2,reward_shaping,0.044639386964263394
double-four,2,state_and_legal_action_generation,0.2953544750926085
double-four,2,terminal_reward_and_trajectory_finalization,0.051875117438612506
double-four,2,unaccounted,0.08291274809744209
double-five,1,agent_setup,0.15756799251539633
double-five,1,engine_initialization,0.08334485272644088
double-five,1,engine_state_transition,0.1767383927362971
double-five,1,forced_learner_action_selection,0.0033198467863257974
double-five,1,learner_agent_decisions,4.3281114226265345
double-five,1,opponent_agent_decisions,3.607984211819712
double-five,1,per_game_rng_setup,0.044559849600773305
double-five,1,result_payload_construction,0.009449778270209208
double-five,1,reward_shaping,0.07810401028837077
double-five,1,state_and_legal_action_generation,0.5035161150444765
double-five,1,terminal_reward_and_trajectory_finalization,0.06623089994536713
double-five,1,unaccounted,0.1158738158410415
double-five,2,agent_setup,0.15192174309049733
double-five,2,engine_initialization,0.08055369579233229
double-five,2,engine_state_transition,0.1718056623940356
double-five,2,forced_learner_action_selection,0.0031881761096883565
double-five,2,learner_agent_decisions,4.208894482930191
double-five,2,opponent_agent_decisions,3.5008231637475546
double-five,2,per_game_rng_setup,0.04336137758218683
double-five,2,result_payload_construction,0.009207582217641175
double-five,2,reward_shaping,0.07491516735171899
double-five,2,state_and_legal_action_generation,0.486114540748531
double-five,2,terminal_reward_and_trajectory_finalization,0.06361557371565141
double-five,2,unaccounted,0.11219978739973158
double-six,1,agent_setup,0.16882453090511262
double-six,1,engine_initialization,0.0895308744511567
double-six,1,engine_state_transition,0.22816169753787108
double-six,1,forced_learner_action_selection,0.004249503486789763
double-six,1,learner_agent_decisions,5.195733832428232
double-six,1,opponent_agent_decisions,3.935848584311316
double-six,1,per_game_rng_setup,0.04469865470309742
double-six,1,result_payload_construction,0.009711495164083317
double-six,1,reward_shaping,0.1137773267691955
double-six,1,state_and_legal_action_generation,0.7631633631535806
double-six,1,terminal_reward_and_trajectory_finalization,0.07854968344327062
double-six,1,unaccounted,0.14029044163180515
double-six,2,agent_setup,0.1662177600665018
double-six,2,engine_initialization,0.08864426412037574
double-six,2,engine_state_transition,0.2255263284605462
double-six,2,forced_learner_action_selection,0.0041808164678514
double-six,2,learner_agent_decisions,5.111530682072043
double-six,2,opponent_agent_decisions,3.8725802504923195
double-six,2,per_game_rng_setup,0.04407968980376609
double-six,2,result_payload_construction,0.009353398927487433
double-six,2,reward_shaping,0.11184734583366662
double-six,2,state_and_legal_action_generation,0.7437713592662476
double-six,2,terminal_reward_and_trajectory_finalization,0.0759677079913672
double-six,2,unaccounted,0.13697009996394627
