ruleset,repetition,section,seconds
double-three,1,adaptive_tuning,0.009855404001427814
double-three,1,checkpoint_archive_update,0.02341553187579848
double-three,1,checkpoint_serialization,1.977273593103746
double-three,1,console_logging,0.001709165022475645
double-three,1,decision_buffer_memory_preflight,0.09074017609236762
double-three,1,final_checkpoint_shutdown_and_summary,0.07300700701307505
double-three,1,iteration_control_overhead,0.08995274762855843
double-three,1,matchmaking_plan_construction,0.48895488312700763
double-three,1,matchmaking_result_aggregation,0.22834419802529737
double-three,1,metrics_jsonl_write_and_fsync,0.06627862405730411
double-three,1,metrics_payload_construction,0.001297289039939642
double-three,1,opponent_performance_retention,0.0011390899599064142
double-three,1,opponent_performance_update,0.0036910729540977627
double-three,1,opponent_pool_admission_and_retention,0.010796916205435991
double-three,1,pipeline_and_progress_callbacks,0.010984761029249057
double-three,1,policy_snapshot_synchronization,0.009536572033539414
double-three,1,ppo_buffer_assembly_and_advantage_normalization,0.7526617628755048
double-three,1,ppo_update,34.435356835019775
double-three,1,resource_preflight_runner_setup_and_metrics_open,0.014905147982062772
double-three,1,reward_statistics,0.2736139058833942
double-three,1,rollout_game_execution,9.561251048085978
double-three,1,unaccounted,0.09606422297656536
double-three,1,validation_model_load_and_resume,0.0013289649796206504
double-three,2,adaptive_tuning,0.009467692987527698
double-three,2,checkpoint_archive_update,0.021854101942153648
double-three,2,checkpoint_serialization,1.890527585928794
double-three,2,console_logging,0.0015091599780134857
double-three,2,decision_buffer_memory_preflight,0.09439340798417106
double-three,2,final_checkpoint_shutdown_and_summary,0.059775214991532266
double-three,2,iteration_control_overhead,0.09400734840892255
double-three,2,matchmaking_plan_construction,0.470180059899576
double-three,2,matchmaking_result_aggregation,0.2439220340747852
double-three,2,metrics_jsonl_write_and_fsync,0.055231753998668864
double-three,2,metrics_payload_construction,0.0011163519229739904
double-three,2,opponent_performance_retention,0.001118372951168567
double-three,2,opponent_performance_update,0.004154734924668446
double-three,2,opponent_pool_admission_and_retention,0.01062402399838902
double-three,2,pipeline_and_progress_callbacks,0.00989423695136793
double-three,2,policy_snapshot_synchronization,0.008648781018564478
double-three,2,ppo_buffer_assembly_and_advantage_normalization,0.7755259449477307
double-three,2,ppo_update,32.75898939801846
double-three,2,resource_preflight_runner_setup_and_metrics_open,0.01357348999590613
double-three,2,reward_statistics,0.2851691450632643
double-three,2,rollout_game_execution,9.296493206988089
double-three,2,unaccounted,0.08807622001040727
double-three,2,validation_model_load_and_resume,0.0013807869981974363
double-four,1,adaptive_tuning,0.00976141999126412
double-four,1,checkpoint_archive_update,0.030702984950039536
double-four,1,checkpoint_serialization,2.868997667945223
double-four,1,console_logging,0.0017736578884068877
double-four,1,decision_buffer_memory_preflight,0.12447307191905566
double-four,1,final_checkpoint_shutdown_and_summary,0.09383117797551677
double-four,1,iteration_control_overhead,0.08437393818167038
double-four,1,matchmaking_plan_construction,0.5115641230950132
double-four,1,matchmaking_result_aggregation,0.21886563402949832
double-four,1,metrics_jsonl_write_and_fsync,0.06178280510357581
double-four,1,metrics_payload_construction,0.0012619139451999217
double-four,1,opponent_performance_retention,0.0011368710256647319
double-four,1,opponent_performance_update,0.003699915047036484
double-four,1,opponent_pool_admission_and_retention,0.012166601954959333
double-four,1,pipeline_and_progress_callbacks,0.011294630996417254
double-four,1,policy_snapshot_synchronization,0.010068615054478869
double-four,1,ppo_buffer_assembly_and_advantage_normalization,0.9251360279740766
double-four,1,ppo_update,50.241158851917135
double-four,1,resource_preflight_runner_setup_and_metrics_open,0.016770201997132972
double-four,1,reward_statistics,0.29755464306799695
double-four,1,rollout_game_execution,27.069254234957043
double-four,1,unaccounted,0.1184923319669906
double-four,1,validation_model_load_and_resume,0.0014366520044859499
double-four,2,adaptive_tuning,0.010153831011848524
double-four,2,checkpoint_archive_update,0.027518528135260567
double-four,2,checkpoint_serialization,2.76777324496652
double-four,2,console_logging,0.0017493311024736613
double-four,2,decision_buffer_memory_preflight,0.12243987206602469
double-four,2,final_checkpoint_shutdown_and_summary,0.08086621499387547
double-four,2,iteration_control_overhead,0.09502555622020736
double-four,2,matchmaking_plan_construction,0.47859120814246126
double-four,2,matchmaking_result_aggregation,0.2518694250029512
double-four,2,metrics_jsonl_write_and_fsync,0.05543759209103882
double-four,2,metrics_payload_construction,0.0011431840539444238
double-four,2,opponent_performance_retention,0.0011247999500483274
double-four,2,opponent_performance_update,0.0043343930738046765
double-four,2,opponent_pool_admission_and_retention,0.012242214026628062
double-four,2,pipeline_and_progress_callbacks,0.010826166981132701
double-four,2,policy_snapshot_synchronization,0.009894987044390291
double-four,2,ppo_buffer_assembly_and_advantage_normalization,1.0037990909768268
double-four,2,ppo_update,47.713762211060384
double-four,2,resource_preflight_runner_setup_and_metrics_open,0.015994205983588472
double-four,2,reward_statistics,0.27495799597818404
double-four,2,rollout_game_execution,26.496557366015622
double-four,2,unaccounted,0.12251430214382708
double-four,2,validation_model_load_and_resume,0.0016403279732912779
double-five,1,adaptive_tuning,0.011673984001390636
double-five,1,checkpoint_archive_update,0.04422892301226966
double-five,1,checkpoint_serialization,5.211173631978454
double-five,1,console_logging,0.0017870540614239872
double-five,1,decision_buffer_memory_preflight,0.19205028092255816
double-five,1,final_checkpoint_shutdown_and_summary,0.08808399300323799
double-five,1,iteration_control_overhead,0.10080835185362957
double-five,1,matchmaking_plan_construction,0.47994227410526946
double-five,1,matchmaking_result_aggregation,0.25226847297744825
double-five,1,metrics_jsonl_write_and_fsync,0.06042556601460092
double-five,1,metrics_payload_construction,0.0012870329956058413
double-five,1,opponent_performance_retention,0.0010988230933435261
double-five,1,opponent_performance_update,0.004258651140844449
double-five,1,opponent_pool_admission_and_retention,0.015548424940789118
double-five,1,pipeline_and_progress_callbacks,0.012391937081702054
double-five,1,policy_snapshot_synchronization,0.011304500076221302
